nit,nombreempresa,year
5210384-6,A.T. IMPRESOS,2012
7722370-5,COLECCIONES DE SANTA,2012
3713787-5,PANTEX II,2012
6105113-6,TEXPAN GUATEMALA,2012
1251813-1,TEXTILES PANAMERICANOS,2012
5701667-4,QUALITY PLUS,2012
7205993-1,C.S.A. GUATEMALA,2012
4209441-0,HANSAE,2012
229-1,DESTILADORA DE ALCOHOLES Y RONES,2012
5429022-8,GCSC,2012
478414-6,INDUSTRIAS TREVISO,2012
2656388-6,ABSORBENTES DE CENTROAMERICA,2012
840693-6,ACCESORIOS TEXTILES,2012
3717518-1,EXCARSA,2012
7570749-7,EXPOELEFANTE,2012
810825-0,TEXTISUR INTERNACIONAL,2012
3848909-0,INMODA,2012
67321-8,INDUSTRIA LA POPULAR,2012
5148972-4,KOA MODAS,2012
2671509-0,COLECCION DE SANTA EXPORTS,2012
2293635-1,VAGUSA,2012
759604-9,COLECCION DE SANTA,2012
7369275-1,FIDES GUATEMALA,2012
6033623-4,PRODUCTOS AGRÍCOLAS DE ORIENTE,2012
6931460-8,MINERASA,2012
66308-5,FOSFORERA CENTROAMERICANA,2012
2506962-4,FLUSHING,2012
32689-5,INFASA,2012
3312099-4,INDUSTRIA PROCESADORA DE GUATEMALA,2012
5298517-2,GLOVIA,2012
4426909-9,ENVASES UNIVERSALES REXAM DE CENTROAMÉRICA,2012
6597040-3,MERCADO GLOBAL,2012
6178456-7,EL ROSARIO,2012
5968610-3,PRALSA,2012
7361747-4,INDUSTRIAS DE EXPORTACIÓN UNIVERSAL,2012
799574-1,REPARACIONES INTERMODALES,2012
5051023-1,MEGAPRINT,2012
2354348-5,FOGEL,2012
7751650-8,TEXTILES CANTABRIA,2012
2742156-2,TEXTILES CATANIA,2012
6404494-7,METAMECASA,2012
67322-6,CORRUGADORA GUATEMALA,2012
7615672-9,CITRUM,2012
7892280-1,MILAGRO GUATEMALA,2012
543749-0,PASA,2012
5633823-6,GRUPO S.J.,2012
3475801-1,PLUS TECHNOLOGIES,2012
3957286-2,MIN JI MODAS,2012
7718962-0,ACABADOS Y SERIGRAFIA,2012
65864-2,"ALIMENTOS\, S.A.",2012
7568267-2,INDUSTRIAS NYLONTEX,2012
1198343-4,NYLONTEX INTERNACIONAL,2012
6826747-9,EFITEX,2012
6162950-2,TIGSA FERTILIZANTES,2012
1251519-1,FLORICULTURA & COMPAÑIA LIMITADA,2012
2435754-5,RIANXEIRA AMERICA,2012
5856112-9,PROINGASA,2012
518924-1,CYAFSA,2012
103274-7,FRAZIMA,2012
2561389-8,MANUFACTURAS VISTA AL MAR,2012
6406371-2,ORNAMENTALES LA LOMA,2012
6141404-2,GUATECALL,2012
521844-6,TEXTILASA,2012
5788036-0,BIENNO,2012
3453049-5,LA FUTURA,2012
6090444-5,AGROCAPSA,2012
5053866-7,SQA & KC INTERNATIONAL,2012
"6461430-1 \A\""""",CIELO INTERNATIONAL 2,2012
7243255-1,DAMOA,2012
5377726-3,LMS,2012
3283121-8,K.P. TEXTIL,2012
840690-1,RETO,2012
2400597-5,CSA TRADING,2012
3847208-2,ORINSTAR,2012
4402910-1,DINSA,2012
7086433-0,TRES HERMANOS,2012
3728667-6,C.S.A. APPAREL I,2012
7082121-6,HAN SAE GLOBAL,2012
108429-1,"POLYPRODUCTOS DE GUATEMALA\, S.A.",2012
795873-0,RAFIAS Y EMPAQUES,2012
152887-4,DELICIA,2012
4320636-0,ICS,2012
1689756-0,GERFOR GUATEMALA,2012
828743-0,RIO VINYL INTERAMERICANA,2012
5483358-2,ELASTOMEROS EQUITATIVOS,2012
4139376-7,SMARTCO GUATEMALA,2012
283405-7,AGROCENTRO,2012
6320257-3,ABSORVENTES MAYA,2012
4908811-4,CONRIO,2012
6933891-4,ALIMENTOS CONGELADOS,2012
3861827-3,BOLSAS ESCOLARES,2012
1277280-1,PAPELCO,2012
3789585-0,ACSSA,2012
1251554-K,GLOBAL FARMA,2012
4017225-2,TRANSACTEL,2012
6660251-3,MARLIN TOWERS,2012
2960688-8,GLOBAL PRINT,2012
4306798-0,ECALECTRODOS,2012
1234072-3,ABSA,2012
4227751-5,FRUTICOLA DEL SUR,2012
3735712-3,VEGIES,2012
5830709-5,BANDO FASHION,2012
2903986-K,TECNOPAK,2012
7376272-5,CORPORACION INDYKNIT,2012
1548172-7,QUIMESA,2012
2668919-7,GUANDY,2012
2689768-7,AGROTROPIC,2012
5267523-8,SILSARANG,2012
3140291-7,CORPOETISA,2012
5088274-0,HILOTRIMSA,2012
495238-3,"MULTIPERFILES\, SOCIEDAD ANÓNIMA",2012
2443818-9,AGRICOLA TIERRA NUEVA,2012
4413316-2,"MD APPAREL\, S.A.",2012
32285-7,LACETEX,2012
5943293-4,JINA TEXTILES,2012
677143-2,WESTRADE GUATEMALA,2012
564260-4,"ENTRE RÍOS\, SOCIEDAD ANÓNIMA",2012
5051183-1,PRIMAROSSA,2012
4904936-4,HILCOSA GUATEMALA,2012
4473245-7,PLANTAS ILIMITADAS,2012
745219-5,MULTI -PLANTAS,2012
841063-1,EMPACADORA DE SEMILLAS,2012
3363358-4,PLANTACIONES DE ORO,2012
2723111-9,EURO MODA DISTRIBUCIONES,2012
7435126-5,BV FULLPACKAGE,2012
3401321-0,INT TRADING,2012
6996069-0,SERCO LAT AM SERVICES,2012
7276013-3,GUANACASTE INDUSTRIA DE EXTRACCION DE CAUCHO EN CRUDO,2012
4569165-7,IBEROAMERICANA DE LATEX,2012
2637506-0,FOREST AQUA CULTURE,2012
702053-8,PICA DE HULE NATURAL,2012
4842328-9,ACCESORIOS GLOBALES,2012
4093485-3,IMPORTADORA Y EXPORTADORA SANTA RITA,2012
1186882-1,"OREPLAST\, S.A.",2012
670146-9,HACIENDA  LAS ANIMAS,2012
4146930-5,SIPEC,2012
837297-7,PRODUCTOS DEL AIRE DE GUATEMALA,2012
7977425-3,COLOR ART CORGUA,2012
6320586-6,DTM TEXTILES,2012
30684-3,PROFASA,2012
300464-3,INDUPLASTIC,2012
3319229-4,COMPLAST,2012
840034-2,ALIMENTOS GOURMET,2012
5892368-3,ELÁSTICOS DE LATEX,2012
7652816-2,HUERTAS DEL CAMPO INTERNACIONAL,2012
57461-9,GUATEPLAST,2012
3481405-1,FRUTERA TROPICAL,2012
7677684-0,PIMAVERA INTERNATIONAL,2012
5033913-3,SOLUCIONES DE INFORMATICA DE CENTROAMERICA (SICE),2012
6391657-6,FELCOSA,2012
7385444-1,LEMEN,2012
751183-3,ZERIGRAPH,2012
7880534-1,HV DE GUATEMALA,2012
7462725-2,"HERRY INTERNACIONAL\, EL NARANJO",2012
7406577-7,SAN RAFAEL,2012
593222-K,COTTONTEX,2012
7463627-8,GREEN HORT,2012
5546318-5,OROPSA,2012
524219-3,MAGUS,2012
107880-1,INYECTORES DE PLASTICO,2012
